Timestamp,Day,LoadNo,CoilID1,CoilID2,CoilID3,CoilID4,CoilID5,CoilID6,CoilID7,CoilID8,CoilID9,CoilID10,CoilID11,SubmissionID
6/12/2025 14:07:37,Friday,Load #1,082594.017944C06,082594.017944C03,082596.117941F24,082595.017943C11,082594.017944C17,082596.117941F20,082594.017944C15,082596.117941F18,082594.017944C16,082594.017944C14,082594.017944C08,e2e9d395
6/16/2025 7:52:19,Monday,Load #1,082594.017944C40,082594.017944C04,082594.017944C10,082594.017944C01,082594.017944C13,082594.017944C20,082594.017944C26,182594.017944C40,082596.117941F27,082596.117941F25,082594.017944C02,dc5c2698
6/16/2025 8:37:51,Monday,Load #2,082595.017943C29,082596.117941F26,082594.017944C19,082596.117941F23,082596.117941F28,082594.017944C11,082594.017944C12,082594.017944C34,082594.017944C07,082594.017944C31,082594.017944C09,8e50e5ae
6/16/2025 8:41:39,Monday,Load #3,082595.017943C42,082595.017943C27,082595.017943C44,082595.017943C46,082594.017944C36,082595.017943C48,082594.017944C38,082594.017944C35,082595.017943C19,082594.017944C37,082594.017944C33,fa6e0007
6/16/2025 8:48:57,Monday,Load #4,082594.017944C23,082594.017944C21,082595.017943C37,082595.017943C30,082596.117941F22,082594.017944C24,082595.017943C28,082594.017944C22,082594.017944C32,082594.017944C18,082595.017943C31,bfe406f8
6/16/2025 8:51:01,Monday,Load #5,082595.017943C33,082595.017943C35,082595.017943C40,082595.017943C13,082594.017944C25,082594.017944C30,082594.017944C28,082594.017944C27,082594.017944C29,082594.017944C41,082594.017944C43,dee2d471
7/11/2025 9:14:48,Monday,Load #1,082596.017942C03,082595.017943C74,082595.017943C76,082596.017942C05,082595.017943C70,082596.017942C01,082596.017942C04,082596.117941F16,082595.017943C75,082595.017943C73,082595.017943C71,2eaaa114
7/11/2025 9:31:26,Monday,Load #2,082595.017943C52,082596.117941F11,082595.017943C54,082595.017943C50,082595.017943C58,082596.117941F13,082595.017943C56,082596.117941F10,082596.117941F14,082596.117941F12,082596.117941F21,261816a1
7/11/2025 9:33:55,Monday,Load #3,082595.017943C60,082595.017943C38,082595.017943C25,082596.117941F09,082595.017943C23,082596.117941F19,082596.117941F17,082595.017943C63,082595.017943C36,082595.017943C61,082595.017943C34,27435501
7/11/2025 9:36:32,Monday,Load #4,082595.017943C21,082595.017943C22,082595.017943C20,082595.017943C62,082595.017943C24,082595.017943C26,082594.017944C39,082594.017944C42,082594.017944C44,082595.017943C32,082596.117941F15,b061338a
7/14/2025 10:59:15,Tuesday,Load #1,082589.517946D06,082589.617950C06,082589.517946D09,082589.517946D46,082589.517946D19,082589.517946D37,082589.517946D39,082589.517946D40,082588.017947C38,082589.517946D13,082589.517946D08,2c97a961
7/14/2025 13:30:29,Tuesday,Load #2,082589.517946D25,082589.517946D42,082589.517946D23,082588.017947C13,082589.517946D07,082589.517946D02,082588.017947C14,082589.517946D28,082589.517946D04,082589.517946D32,082589.517946D44,ba00ac7f
7/15/2025 10:11:53,Tuesday,Load #3,082589.617950C45,082589.517946D14,082589.617950C47,082589.517946D03,082589.517946D05,082589.517946D29,082589.517946D18,082588.017947C40,082588.017947C42,082589.517946D17,082589.517946D15,5ef77f56
7/15/2025 10:15:57,Tuesday,Load #4,082589.617950C42,082589.617950C08,082589.617950C38,082589.617950C44,082589.617950C50,082589.617950C40,082589.517946D10,082589.517946D16,082588.017947C36,082589.517946D12,082589.617950C52,65400b01
7/21/2025 7:39:34,Monday,Load #1,082588.017947C27,082588.017947C29,082589.517946D38,082589.517946D36,082588.017947C31,082588.017947C33,082588.017947C23,082588.017947C19,082588.017947C25,082589.817949C09,082588.017947C21,8b87c619
7/21/2025 7:43:50,Monday,Load #2,082589.617950C36,082589.617950C55,082589.517946D43,082589.517946D45,082589.817949C11,082589.817949C13,082589.517946D35,082589.517946D41,082589.617950C62,082589.617950C60,082588.017947C46,5ce24657
7/21/2025 7:47:31,Monday,Load #3,082589.617950C33,082589.617950C34,082589.617950C48,082589.617950C46,082588.017947C22,082588.017947C20,082589.617950C35,082589.617950C54,082589.617950C56,082589.617950C57,082589.517946D11,d983cd7a
7/21/2025 7:52:08,Monday,Load #4,082589.617950C49,082589.617950C51,082589.517946D30,082589.517946D20,082589.517946D01,082589.617950C39,082589.617950C37,082589.617950C41,082589.617950C43,082588.017947C32,082588.017947C34,62b79247
7/21/2025 14:16:00,Tuesday,Load #1,082594.017944C79,082594.017944C77,082594.017944C76,082594.017944C73,082595.017943C01,082595.017943C03,082595.017943C04,082594.017944C75,082594.017944C69,082594.017944C67,082594.017944C80,8453a817
7/21/2025 14:20:45,Tuesday,Load #2,082594.017944C71,082594.017944C62,082594.017944C66,082594.017944C64,082594.017944C63,082594.017944C59,082594.017944C68,082594.017944C70,082594.017944C65,082595.017943C05,082594.017944C61,67d6756f
7/21/2025 14:22:35,Tuesday,Load #3,082594.017944C45,082594.017944C56,082594.017944C53,082594.017944C55,082594.017944C57,082594.017944C58,082594.017944C60,082594.017944C54,082594.017944C50,082594.017944C52,082594.017944C51,a5f3ec6a
7/21/2025 14:24:16,Tuesday,Load #4,082594.017944C49,082595.017943C68,082594.017944C47,082594.017944C46,082594.017944C48,082595.017943C64,082595.017943C69,082595.017943C67,082595.017943C66,082595.017943C72,082595.017943C65,3ea9db7b
7/23/2025 7:46:10,Wednesday,Load #4,082589.617950C29,082588.017947C26,082588.017947C28,082588.017947C24,082588.017947C30,082588.017947C39,082588.017947C41,082589.517946D24,082589.517946D22,082588.017947C50,082588.017947C48,be4a619d
7/23/2025 7:58:45,Wednesday,Load #3,082589.517946D50,082589.517946D47,082589.817949C18,082589.817949C16,082589.817949C14,082587.017948C22,082589.517946D56,082589.617950C03,082587.017948C18,082587.017948C24,082589.817949C10,5b2d6177
7/23/2025 8:05:17,Wednesday,Load #2,082589.017946C10,082589.517946D53,082589.817949C08,082589.617950C59,082589.817949C19,082589.817949C21,082587.017948C09,082587.017948C15,082589.617950C30,082589.817949C12,082589.817949C23,97571fca
7/23/2025 8:10:14,Wednesday,Load #1,082587.017948C11,082587.017948C23,082589.817949C02,082589.617950C61,082589.517946D26,082587.017948C17,082589.817949C22,082589.817949C17,082589.817949C15,082589.517946D34,082588.017947C37,133c1d96
7/24/2025 14:37:50,Thursday,Load #1,082587.017948C01,082588.017947C49,082587.017948C07,082588.017947C53,082589.817949C01,082587.017948C12,082587.017948C02,082589.517946D48,082587.017948C10,082589.017946C12,082588.017947C51,5c020c9f
7/25/2025 7:24:32,Friday,Load #2,082587.017948C56,082589.617950C22,082589.617950C10,082587.017948C50,082589.617950C19,082589.617950C13,082587.017948C04,082589.017946C05,082589.017946C02,082589.617950C16,082589.617950C26,95e9cef6
7/25/2025 7:59:13,Friday,Load #3,082589.517946D21,082589.517946D27,082587.017948C16,082587.017948C14,082587.017948C20,082589.817949C20,082587.017948C65,082588.017947C47,082587.017948C68,082587.017948C62,082587.017948C59,f857e778
7/25/2025 11:29:16,Monday,Load #1,082589.517946D31,082589.517946D33,082589.817949C03,082587.017948C05,082588.017947C35,082588.017947C44,082588.017947C54,082588.017947C52,082588.017947C67,082588.017947C68,082587.017948C21,f51b554c
7/28/2025 7:50:16,Monday,Load #1,082587.017948C42,082587.017948C06,082589.517946D51,082587.017948C41,082589.517946D49,082587.017948C37,082587.017948C39,082587.017948C77,082588.017947C77,082589.017946C11,082587.017948C08,a36590d6
7/28/2025 7:53:42,Monday,Load #2,082587.017948C19,082589.617950C63,082587.017948C13,082588.017947C43,082588.017947C45,082588.017947C59,082589.017946C09,082588.017947C55,082588.017947C57,082587.017948C25,082589.817949C24,67c84d08
7/28/2025 7:55:59,Monday,Load #3,082589.817949C27,082589.517946D54,082589.517946D52,082588.017947C58,082588.017947C56,082588.017947C62,082588.017947C64,082587.017948C29,082587.017948C27,082588.017947C66,082587.017948C03,558f54a1
7/28/2025 7:58:22,Tuesday,Load #1,082596.017942C18,082596.017942C19,082596.017942C25,082596.017942C13,082596.117941F39,082596.017942C14,082596.017942C12,082595.017943C39,082596.117941F37,082596.117941F35,,c19f52a0
7/28/2025 12:15:30,Monday,Load #2,082594.017944C72,082595.017943C14,082595.017943C12,082595.017943C08,082594.017944C74,082595.017943C10,082596.117941F06,082596.117941F03,082596.117941F07,082596.117941F05,082596.017942C27,355c9155
7/28/2025 13:16:28,Monday,Load #3,082596.017942C15,082596.017942C06,082593.017941D08,082596.017942C31,082595.017943C49,082596.017942C26,082595.017943C06,082595.017943C16,082595.017943C18,082595.017943C15,082595.017943C17,0061a7bc
7/28/2025 13:19:27,Monday,Load #4,082596.017942C21,082596.017942C23,082593.017941D06,082593.017941D14,082596.117941F08,082593.017941D13,082595.017943C02,082596.117941F04,082596.117941F40,082595.017943C09,082595.017943C07,e73501db
7/25/2025 11:32:21,Wednesday,Load #1,082587.017948C33,082589.517946D55,082589.017946C08,082589.617950C31,082589.617950C27,082587.017948C45,082587.017948C43,082589.617950C05,082589.617950C01,082587.017948C47,082589.617950C07,c0e43326
7/29/2025 13:32:05,Wednesday,Load #2,082587.017948C26,082588.017947C65,082589.617950C28,082589.617950C11,082589.617950C09,082587.017948C38,082587.017948C40,082587.017948C30,082587.017948C28,082589.617950C04,082589.617950C02,34dc5c4e
7/29/2025 13:39:33,Wednesday,Load #3,082589.817949C04,082589.617950C14,082589.617950C12,082587.017948C74,082589.817949C25,082589.617950C32,082589.817949C07,082588.017947C63,082588.017947C61,082587.017948C44,082587.017948C48,d925ca8d
7/29/2025 13:44:26,Wednesday,Load #4,082589.817949C26,082588.017947C60,082587.017948C32,082587.017948C34,082587.017948C35,082589.017946C07,082589.817949C06,082587.017948C46,082589.817949C05,082587.017948C31,082587.017948C36,f21c2657
7/31/2025 9:36:37,Monday,Load #1,082593.017941D16,082596.017942C38,082595.017943C59,082596.117941F29,082596.017942C29,082596.017942C33,082596.017942C43,082596.017942C11,082596.117941F38,082593.017941D03,082596.017942C32,14372f4a
7/31/2025 9:56:18,Monday,Load #2,082596.017942C34,082596.017942C41,082595.017943C53,082596.017942C66,082596.117941F01,082596.117941F36,082596.117941F30,082596.017942C58,082596.017942C64,082596.017942C47,082596.017942C45,77511590
7/31/2025 11:20:43,Monday,Load #3,082596.017942C49,082596.017942C54,082596.017942C56,082596.017942C60,082596.017942C07,082596.117941F31,082596.117941F33,082595.017943C43,082595.017943C41,082596.017942C50,082596.017942C52,91a4e1d4
7/31/2025 11:27:07,Monday,Load #4,082596.017942C09,082595.017943C51,082595.017943C55,082596.017942C08,082596.017942C10,082596.117941F34,082596.117941F32,082596.017942C22,082596.017942C16,082596.017942C17,082596.017942C24,1c74047d
8/4/2025 9:56:47,Tuesday,Load #1,082587.017948C53,082588.017947C10,082589.617950C15,082588.017947C06,082588.017947C04,082588.017947C08,082588.017947C18,082587.017948C54,082587.017948C52,082589.617950C24,082589.617950C25,9d5f343d
8/4/2025 10:15:32,Tuesday,Load #2,082589.817949C44,082588.017947C69,082587.017948C76,082587.017948C70,082589.817949C29,082589.817949C35,082589.817949C61,082589.817949C42,082589.817949C33,082589.817949C41,082589.817949C53,aa6b3c1c
8/4/2025 14:06:10,Tuesday,Load #3,082589.017946C03,082589.817949C40,082588.017947C75,082587.017948C71,082589.817949C30,082589.817949C57,082587.017948C72,082587.017948C55,082587.017948C57,082587.017948C67,082589.817949C59,f33eeefe
8/4/2025 14:09:46,Tuesday,Load #4,082589.617950C17,082588.017947C71,082588.017947C12,082589.017946C01,082588.017947C79,082589.617950C21,082589.617950C23,082588.017947C73,082589.817949C28,082589.817949C49,082589.817949C34,3e13acb6
8/8/2025 9:07:13,Monday,Load #1,082596.017942C71,082596.017942C69,082596.117941F02,082596.017942C67,082596.017942C65,082596.017942C63,082596.017942C36,082596.017942C02,082593.017941D07,082784.218044D24,082784.218044D06,a9a024aa
8/8/2025 9:26:30,Monday,Load #2,082596.017942C35,082596.017942C37,082593.017941D09,082596.017942C51,082596.017942C53,082596.017942C42,082593.017941D11,082596.017942C40,082596.017942C59,082596.017942C61,082593.017941D05,97ae00d9
8/8/2025 9:39:52,Monday,Load #3,082596.017942C44,082593.017941D17,082593.017941D15,082596.017942C57,082596.017942C55,082596.017942C39,082596.017942C70,082593.017941D02,082593.017941D04,082596.017942C62,082596.017942C68,564b9039
8/8/2025 9:46:30,Monday,Load #4,082595.017943C45,082593.017941D12,082593.017941D10,082596.017942C48,082596.017942C30,082596.017942C46,082595.017943C57,082595.017943C47,082596.017942C28,082593.017941D01,082593.017941D18,be50646c
8/11/2025 13:05:50,Tuesday,Load #1,082784.218044D18,082784.218044D13,082784.218044D11,082784.218044D05,082780.018041C29,082780.018041C27,082786.018043C24,082784.218044D16,082784.218044D02,082784.218044D04,082786.018043C23,23026aba
8/11/2025 13:26:33,Tuesday,Load #3,082784.218044D20,082784.218044D22,082786.018043C04,082784.218044D19,082784.218044D25,082786.018043C22,082786.018043C10,082786.018043C16,082780.018041C38,082780.018041C33,082784.218044D08,8e67d65e
8/11/2025 14:53:17,Tuesday,Load #4,082780.018041C34,082780.018041C36,082780.018041C37,082780.018041C35,082780.018041C31,082780.018041C32,082780.018041C30,082780.018041C28,082784.218044D10,082784.218044D12,082784.218044D14,dabcf209
8/11/2025 15:00:21,Tuesday,Load #4,082780.018041C43,082780.018041C52,082780.018041C50,082780.018041C48,082780.018041C24,082780.018041C46,082784.218044D01,082784.218044D03,082780.018041C41,082780.018041C39,082780.018041C25,7c3393a0
8/12/2025 7:31:52,Tuesday,Load #2,082780.018041C39,082780.018041C25,082780.018041C41,082784.218044D03,082780.018041C52,082780.018041C43,082780.018041C50,082780.018041C48,082780.018041C46,082780.018041C24,082784.218044D01,a2c4a2bf
,,,,,,,,,,,,,,
8/12/2025 10:30:06,Wednesday,Load #1,082780.018041C44,082780.018041C40,082780.018041C42,082780.018041C45,082781.018042C04,082780.018041C49,082780.018041C47,082780.018041C07,082781.018042C02,082780.018041C56,082780.018041C58,5c2c52b4
8/12/2025 10:35:02,Wednesday,Load #2,082781.018042C14,082781.018042C01,082781.018042C15,082780.018041C59,082784.218044D15,082784.218044D26,082786.018043C02,082781.018042C05,082780.018041C62,082784.218044D21,082784.218044D23,02f3e0cc
8/12/2025 13:25:42,Wednesday,Load #3,082784.218044D07,082784.218044D09,082781.018042C52,082786.018043C06,082786.018043C08,082786.018043C01,082786.018043C03,082784.218044D17,082780.018041C55,082780.018041C57,082780.018041C53,a1dbd6d1
8/12/2025 13:29:19,Wednesday,Load #4,082781.018042C07,082786.018043C14,082786.018043C12,082780.018041C54,082780.018041C60,082780.018041C51,082781.018042C03,082786.018043C18,082786.018043C20,082781.018042C08,082781.018042C12,9d865a03
9/8/2025 9:38:07,Tuesday,Load #1,082597.017923C30,082597.017923C44,082597.017923C48,082597.017923C50,082597.017923C37,082597.017923C45,082597.017923C40,082597.017923C38,082597.017923C03,082597.017923C05,082597.017923C36,a92b1efd
9/8/2025 9:47:43,Tuesday,Load #2,082597.017923C08,082597.017923C68,082597.017923C81,082597.017923C24,082597.017923C33,082598.017921D10,082597.017923C46,082597.017923C49,082598.017921D13,082597.017923C39,082598.017921D08,1446b355
9/8/2025 14:32:35,Tuesday,Load #3,082597.017923C02,082597.017923C56,082597.017923C54,082598.017921D14,082598.017921D12,082597.017923C10,082597.017923C78,082597.017923C60,082597.017923C59,082597.017923C57,082598.017921D11,8b9bd3ee
9/8/2025 14:36:19,Tuesday,Load #4,082598.017921D04,082597.017923C63,082597.017923C71,082597.017923C74,082598.017921D07,082598.017921D05,082598.017921D18,082597.017923C64,082598.017921D01,082597.017923C20,082597.017923C22,189b21bf
9/9/2025 9:45:48,Wednesday,Load #1,082597.017923C47,082597.017923C52,082598.017921D25,082597.017923C41,082597.017923C35,082597.017923C42,082597.017923C43,082597.017923C62,082598.017921D02,082597.017923C18,082597.017923C16,dd4aedc8
9/9/2025 9:50:40,Wednesday,Load #2,082597.017923C53,082597.017923C55,082598.017921D17,082597.017923C06,082598.017921D19,082597.017923C77,082598.017921D03,082597.017923C61,082597.017923C01,082598.017921D15,082597.017923C32,b6d8fbb8
9/9/2025 13:59:39,Wednesday,Load #3,082597.017923C31,082597.017923C26,082597.017923C21,082597.017923C12,082597.017923C76,082597.017923C73,082597.017923C04,082597.017923C34,082597.017923C28,082597.017923C29,082597.017923C27,909637fb
9/9/2025 14:05:17,Wednesday,Load #4,082597.017923C11,082597.017923C13,082597.017923C51,082598.017921D21,082598.017921D06,082597.017923C58,082597.017923C79,082597.017923C09,082597.017923C19,082598.017921D16,082597.017923C82,70b8ed5e
